"ID"	"GO1"	"GO2"	"GO3"	"GO4"	"GO5"	"GO6"	"GO7"	"GO8"	"Tetrahymena"
"O94953"	1	0	0	0	0	0	0	0	1
"O94972"	1	0	0	0	0	0	0	0	1
"O95251"	1	0	0	0	0	0	0	0	1
"O95361"	1	0	0	0	0	0	0	0	1
"O95619"	1	0	0	0	0	0	0	0	1
"O95677"	1	0	0	0	0	0	0	0	1
"O95696"	1	0	0	0	1	0	0	0	1
"O96019"	1	0	0	0	0	0	0	0	1
"P05771"	1	0	0	0	0	0	0	0	1
"P0C860"	1	0	0	0	0	0	0	0	1
"P15172"	1	0	0	0	0	0	0	0	1
"P15336"	1	0	0	0	0	0	0	0	1
"P15918"	1	0	0	0	0	0	0	0	1
"P17252"	1	0	0	0	0	0	0	0	1
"P17947"	1	0	0	0	0	0	0	0	1
"P20248"	1	0	0	0	0	0	0	0	1
"P22087"	1	0	0	0	0	0	0	0	1
"P23246"	1	0	0	0	0	0	0	0	1
"P24941"	1	0	0	0	0	0	0	0	1
"P25713"	1	0	1	0	0	0	0	0	1
"P26927"	1	0	0	0	0	0	0	0	1
"P28324"	1	0	0	0	0	0	0	0	1
"P29375"	1	0	0	0	0	0	0	0	1
"P35226"	1	0	0	0	0	0	0	0	1
"P35227"	1	0	0	0	0	0	0	0	1
"P35232"	1	0	0	0	0	0	0	0	1
"P41229"	1	0	0	0	0	0	0	0	1
"P46736"	1	0	0	0	0	0	0	0	1
"P49459"	1	0	0	0	0	0	0	0	1
"P49848"	1	0	0	0	0	0	0	0	1
"P50747"	1	0	0	0	0	0	0	0	1
"P51587"	1	0	0	0	0	0	0	0	1
"P51610"	1	0	0	0	0	0	0	0	1
"P51965"	1	0	0	0	0	0	0	0	1
"P52926"	1	0	0	0	0	0	0	0	1
"P55201"	1	0	0	0	0	0	0	0	1
"P55345"	1	0	0	0	0	0	0	0	1
"P56524"	1	0	0	0	0	0	0	0	1
"P61088"	1	0	0	0	0	0	0	0	1
"P61964"	1	0	0	0	0	0	0	0	1
"P63146"	1	0	0	0	0	0	0	0	1
"P63208"	1	0	0	0	0	0	0	0	1
"P78364"	1	0	0	0	0	0	0	0	1
"Q01658"	1	0	0	0	0	0	0	0	1
"Q03164"	1	0	0	0	0	0	0	0	1
"Q05655"	1	0	0	0	0	0	0	0	1
"Q06587"	1	0	0	0	0	0	0	0	1
"Q09472"	1	0	0	0	0	0	0	0	1
"Q12852"	1	0	0	0	0	0	0	0	1
"Q12962"	1	0	0	0	0	0	0	0	1
"Q13127"	1	0	0	0	0	0	0	0	1
"Q13330"	1	0	0	0	0	0	0	0	1
"Q13547"	1	0	0	0	0	0	0	0	1
"Q13620"	1	0	0	0	0	0	0	0	1
"Q14CW9"	1	0	0	0	0	0	0	0	1
"Q15014"	1	0	0	0	0	0	0	0	1
"Q15047"	1	0	0	0	0	0	0	0	1
"Q15291"	1	0	0	0	0	0	0	0	1
"Q15542"	1	0	0	0	0	0	0	0	1
"Q15652"	1	0	0	0	0	0	0	0	1
"Q15910"	1	0	0	0	0	0	0	0	1
"Q16512"	1	0	0	0	0	0	0	0	1
"Q16514"	1	0	0	0	0	0	0	0	1
"Q16531"	1	0	0	0	0	0	0	0	1
"Q16594"	1	0	0	0	0	0	0	0	1
"Q3KNV8"	1	0	0	0	0	0	0	0	1
"Q4FZB7"	1	0	0	0	0	0	0	0	1
"Q53H47"	1	0	0	0	0	0	0	0	1
"Q5PSV4"	1	0	0	0	0	0	0	0	1
"Q5T5X7"	1	0	0	0	0	0	0	0	1
"Q5VTR2"	1	0	0	0	0	0	0	0	1
"Q5VVJ2"	1	0	0	0	0	0	0	0	1
"Q5VVX9"	1	0	0	0	0	0	0	0	1
"Q68DK7"	1	0	0	0	0	0	0	0	1
"Q6B0I6"	1	0	0	0	0	0	0	0	1
"Q6IE81"	1	0	0	0	0	0	0	0	1
"Q6N021"	1	0	0	0	0	0	0	0	1
"Q6NYC1"	1	0	0	0	0	0	0	0	1
"Q6P1J9"	1	0	0	0	0	0	0	0	1
"Q6PD62"	1	0	0	0	0	0	0	0	1
"Q6PJG2"	1	0	0	0	0	0	0	0	1
"Q6TGC4"	1	0	0	0	0	0	0	0	1
"Q6UXN9"	1	0	0	0	0	0	0	0	1
"Q6W2J9"	1	0	0	0	0	0	0	0	1
"Q6ZMT4"	1	0	0	0	0	0	0	0	1
"Q6ZW49"	1	0	0	0	0	0	0	0	1
"Q70CQ1"	1	0	0	0	0	0	0	0	1
"Q70EK9"	1	0	0	0	0	0	0	0	1
"Q7LBC6"	1	0	0	0	0	0	0	0	1
"Q7Z3B3"	1	0	0	0	0	0	0	0	1
"Q7Z3K6"	1	0	0	0	0	0	0	0	1
"Q7Z6Z7"	1	0	0	0	0	0	0	0	1
"Q86SE9"	1	0	0	0	0	0	0	0	1
"Q86TU7"	1	0	0	0	0	0	0	0	1
"Q86U70"	1	0	0	0	0	0	0	0	1
"Q86UY6"	1	0	0	0	0	0	0	0	1
"Q86VZ2"	1	0	0	0	0	0	0	0	1
"Q86X55"	1	0	0	0	0	0	0	0	1
"Q86Y97"	1	0	0	0	0	0	0	0	1
"Q8IUF8"	1	0	0	0	0	0	0	0	1
"Q8IWV8"	1	0	0	0	0	0	0	0	1
"Q8IXJ6"	1	0	0	0	0	0	0	0	1
"A0A178U7J2"	0	1	0	0	0	0	0	0	1
"A0A178U9Y5"	0	1	0	0	0	0	0	0	1
"A0A1I9LMM7"	0	1	0	0	0	0	0	0	1
"A0A1I9LMN9"	0	1	0	0	0	0	0	0	1
"A0A1I9LQ21"	0	1	0	0	0	0	0	0	1
"A0A1I9LR82"	0	1	0	0	0	0	0	0	1
"A0A1I9LRT3"	0	1	0	0	0	0	0	0	1
"A0A1I9LTC7"	0	1	0	0	0	0	0	0	1
"A0A1P8AMK1"	0	1	0	0	0	0	0	0	1
"A0A1P8AMW4"	0	1	0	0	0	0	0	0	1
"A0A1P8APA8"	0	1	0	0	0	0	0	0	1
"A0A1P8APF4"	0	1	0	0	0	0	0	0	1
"A0A1P8APZ3"	0	1	0	0	0	0	0	0	1
"A0A1P8AQE4"	0	1	0	0	0	0	0	0	1
"A0A1P8AS31"	0	1	0	0	0	0	0	0	1
"A0A1P8AST1"	0	1	0	0	0	0	0	0	1
"A0A1P8ASY1"	0	1	0	0	0	0	0	0	1
"A0A1P8AT59"	0	1	0	0	0	0	0	0	1
"A0A1P8AVS2"	0	1	0	0	0	0	0	0	1
"A0A1P8AW53"	0	1	0	0	0	0	0	0	1
"A0A1P8AW93"	0	1	0	0	0	0	0	0	1
"A0A1P8AW96"	0	1	0	0	0	0	0	0	1
"A0A1P8AWF3"	0	1	0	0	0	0	0	0	1
"A0A1P8AYS2"	0	1	0	0	0	0	0	0	1
"A0A1P8B2C9"	0	1	0	0	0	0	0	0	1
"A0A1P8B4J3"	0	1	0	0	0	0	0	0	1
"A0A1P8B6F9"	0	1	0	0	0	0	0	0	1
"A0A1P8B7P8"	0	1	0	0	0	0	0	0	1
"A0A1P8B9S9"	0	1	0	0	0	0	0	0	1
"A0A1P8BFD8"	0	1	0	0	0	0	0	0	1
"A0A2P2CLF5"	0	1	0	0	0	0	0	0	1
"A0A2P2CLF9"	0	1	0	0	0	0	0	0	1
"A0A2P2CLG6"	0	1	0	0	0	0	0	0	1
"A0A2P2CLH1"	0	1	0	0	0	0	0	0	1
"A1A6M1"	0	1	0	0	0	0	0	0	1
"A3EWL3"	0	1	0	0	0	0	0	0	1
"A4FVP2"	0	1	0	0	0	0	0	0	1
"A4GNA8"	0	1	0	0	0	0	0	0	1
"A7XDQ9"	0	1	0	0	0	0	0	1	1
"A8MQJ1"	0	1	0	0	0	0	0	0	1
"A8MQN2"	0	1	0	0	0	0	0	0	1
"A8MQN4"	0	1	0	0	0	0	0	0	1
"A8MQQ8"	0	1	0	0	0	0	0	0	1
"A8MR93"	0	1	0	1	0	0	0	0	1
"A8MRX0"	0	1	0	0	0	0	0	0	1
"A8MS68"	0	1	0	0	0	0	0	0	1
"A8MS85"	0	1	0	0	0	0	0	0	1
"B0F481"	0	1	0	0	0	0	0	0	1
"B3DN87"	0	1	0	0	0	0	0	0	1
"B3H4S0"	0	1	0	0	0	0	0	0	1
"B3H501"	0	1	0	0	0	0	0	0	1
"B3H572"	0	1	0	0	0	0	0	0	1
"B3H6K1"	0	1	0	0	0	0	0	0	1
"B3H7H1"	0	1	0	0	0	0	0	0	1
"B3LFA4"	0	1	0	0	0	0	0	0	1
"B5X565"	0	1	0	0	0	0	0	0	1
"B5X582"	0	1	0	0	0	0	0	0	1
"B6EXY6"	0	1	0	0	0	0	0	0	1
"B7U179"	0	1	0	0	0	0	0	0	1
"B9DFR6"	0	1	0	0	0	0	0	0	1
"B9DFU2"	0	1	0	0	0	0	0	0	1
"B9DG24"	0	1	0	0	0	0	0	0	1
"B9DGU7"	0	1	0	0	0	0	0	0	1
"B9DGY1"	0	1	0	0	0	0	0	0	1
"B9DH75"	0	1	0	0	0	0	0	0	1
"B9DHD3"	0	1	0	0	0	0	0	0	1
"B9TSP7"	0	1	0	0	0	0	0	0	1
"C0LGL9"	0	1	0	0	0	0	0	1	1
"F2Y4A3"	0	1	0	0	0	1	0	0	1
"F4HP69"	0	1	0	0	0	0	0	0	1
"F4HPZ9"	0	1	0	0	0	0	0	0	1
"F4HQE2"	0	1	0	0	0	0	0	0	1
"F4HQM3"	0	1	0	0	0	0	0	0	1
"F4HR03"	0	1	0	0	0	0	0	0	1
"F4HSX1"	0	1	0	0	0	0	0	0	1
"F4HT77"	0	1	0	0	0	0	0	0	1
"F4HTM3"	0	1	0	0	0	0	0	0	1
"F4HTP2"	0	1	0	0	0	0	0	0	1
"F4HVA6"	0	1	0	0	0	0	0	0	1
"F4HVG0"	0	1	0	0	0	0	0	0	1
"F4HVY0"	0	1	0	0	0	0	0	0	1
"F4HW04"	0	1	0	0	0	0	0	0	1
"F4HW65"	0	1	0	0	0	0	0	0	1
"F4HX14"	0	1	0	0	0	0	0	0	1
"F4HX15"	0	1	0	0	0	0	0	0	1
"F4HXY6"	0	1	0	0	0	0	0	0	1
"F4HXY7"	0	1	0	0	0	0	0	0	1
"F4HYF3"	0	1	0	0	0	0	0	0	1
"F4HZC3"	0	1	0	0	0	0	0	1	1
"F4I057"	0	1	0	0	0	0	0	0	1
"F4I0K2"	0	1	0	0	0	0	0	0	1
"F4I116"	0	1	0	0	0	0	0	0	1
"F4I1A6"	0	1	0	0	0	0	0	0	1
"F4I1P7"	0	1	0	0	0	0	0	0	1
"F4I1Z0"	0	1	0	0	0	0	0	0	1
"F4I2W6"	0	1	0	0	0	0	0	1	1
"F4I403"	0	1	0	0	0	0	0	0	1
"F4I4V4"	0	1	0	0	0	0	0	0	1
"F4I5G3"	0	1	0	0	0	0	0	0	1
"F4I5H7"	0	1	0	0	0	0	0	0	1
"F4I5V8"	0	1	0	0	0	0	0	0	1
"F4I6G9"	0	1	0	0	0	0	0	0	1
"F4I6M1"	0	1	0	0	0	0	0	0	1
"F4I718"	0	1	0	0	0	0	0	1	1
"F4I7J9"	0	1	0	0	0	0	0	0	1
"F4I8X8"	0	1	0	0	0	0	0	0	1
"F4I9M9"	0	1	0	0	0	0	0	0	1
"F4IA25"	0	1	0	0	0	0	0	0	1
"F4IAG1"	0	1	0	0	0	0	0	0	1
"F4IAM7"	0	1	0	0	0	0	0	0	1
"F4IAW5"	0	1	0	0	0	0	0	0	1
"F4IBS4"	0	1	0	0	0	0	0	0	1
"F4IBV4"	0	1	0	0	0	0	0	0	1
"F4ICF4"	0	1	0	0	0	0	0	0	1
"F4ICG2"	0	1	0	0	0	0	0	0	1
"F4IDJ0"	0	1	0	0	0	0	0	0	1
"F4IDU4"	0	1	0	0	0	0	0	0	1
"F4IE14"	0	1	0	0	0	0	0	0	1
"F4IF99"	0	1	0	0	0	0	0	0	1
"F4IFC5"	0	1	0	0	0	0	0	0	1
"F4IFN6"	0	1	0	0	0	0	0	0	1
"F4IHY7"	0	1	0	0	0	0	0	0	1
"F4II66"	0	1	0	0	0	0	0	0	1
"F4IIM1"	0	1	0	0	0	0	0	1	1
"F4IJJ8"	0	1	0	0	0	0	0	0	1
"F4IM82"	0	1	0	0	0	0	0	0	1
"F4IMB5"	0	1	0	0	0	0	0	0	1
"F4IMC7"	0	1	0	0	0	0	0	0	1
"F4IMI8"	0	1	0	0	0	0	0	0	1
"F4IMY0"	0	1	0	0	0	0	0	0	1
"F4IN86"	0	1	0	0	0	0	0	0	1
"F4INZ9"	0	1	0	0	0	1	0	0	1
"F4IPY2"	0	1	0	0	0	0	0	0	1
"F4IQH8"	0	1	0	0	0	0	0	0	1
"F4IRA7"	0	1	0	0	0	0	0	0	1
"F4IRF5"	0	1	0	0	0	0	0	0	1
"F4IS32"	0	1	0	0	0	0	0	0	1
"F4ITI0"	0	1	0	0	0	0	0	0	1
"F4IU14"	0	1	0	0	0	0	0	0	1
"F4IUM0"	0	1	0	0	0	0	0	0	1
"F4IV16"	0	1	0	0	0	0	0	0	1
"F4IW10"	0	1	0	0	0	0	0	0	1
"F4IW19"	0	1	0	0	0	0	0	0	1
"F4IWD3"	0	1	0	0	0	0	0	0	1
"F4IX26"	0	1	0	0	0	1	0	0	1
"A0A087WWA1"	0	0	1	0	0	0	0	0	1
"A0A087X0B3"	0	0	1	0	0	0	0	0	1
"A0A087X1C5"	0	0	1	0	0	0	0	0	1
"A0FGR8"	0	0	1	0	0	0	0	0	1
"A0FGR9"	0	0	1	0	0	0	0	0	1
"A1L0T0"	0	0	1	0	0	0	0	0	1
"A1L3X0"	0	0	1	0	0	0	0	0	1
"A4FU01"	0	0	1	0	0	0	0	0	1
"A4QPH2"	0	0	1	0	0	0	0	0	1
"A5D6W6"	0	0	1	0	0	0	0	0	1
"A5PLL7"	0	0	1	0	0	0	0	0	1
"A6NDG6"	0	0	1	0	0	0	0	0	1
"A6NFH5"	0	0	1	0	0	0	0	0	1
"A8MXV4"	0	0	1	0	0	0	0	0	1
"B0YJ81"	0	0	1	0	0	0	0	0	1
"O00116"	0	0	1	0	0	0	0	0	1
"O00154"	0	0	1	0	0	0	0	0	1
"O00329"	0	0	1	0	1	0	0	0	1
"O00443"	0	0	1	0	0	0	0	0	1
"O00459"	0	0	1	0	1	0	0	0	1
"O00468"	0	0	1	0	0	0	0	0	1
"O00519"	0	0	1	0	0	0	0	0	1
"O00562"	0	0	1	0	0	0	0	0	1
"O00628"	0	0	1	0	0	0	0	0	1
"O00748"	0	0	1	0	0	0	0	0	1
"O00750"	0	0	1	0	0	0	0	0	1
"O00767"	0	0	1	0	0	0	0	0	1
"O14494"	0	0	1	0	0	0	0	0	1
"O14495"	0	0	1	0	0	0	0	0	1
"O14508"	0	0	1	0	0	0	0	0	1
"O14512"	0	0	1	0	0	0	0	0	1
"O14543"	0	0	1	0	1	0	0	0	1
"O14544"	0	0	1	0	0	0	0	0	1
"O14561"	0	0	1	0	0	0	0	0	1
"O14678"	0	0	1	0	0	0	0	0	1
"O14684"	0	0	1	0	0	0	0	0	1
"O14734"	0	0	1	0	0	0	0	0	1
"O14735"	0	0	1	0	0	0	0	0	1
"O14832"	0	0	1	0	0	0	0	0	1
"O14939"	0	0	1	0	1	0	0	0	1
"O14975"	0	0	1	0	0	0	0	0	1
"O14986"	0	0	1	0	0	0	0	0	1
"O15056"	0	0	1	0	0	0	0	0	1
"O15120"	0	0	1	0	0	0	0	0	1
"O15121"	0	0	1	0	0	0	0	0	1
"O15162"	0	0	1	0	1	0	0	0	1
"O15228"	0	0	1	0	0	0	0	0	1
"O15254"	0	0	1	0	0	0	0	0	1
"O15269"	0	0	1	0	0	0	0	0	1
"O15270"	0	0	1	0	0	0	0	0	1
"O15296"	0	0	1	0	0	0	0	0	1
"O15327"	0	0	1	0	0	0	0	0	1
"O15357"	0	0	1	0	0	0	0	0	1
"O15466"	0	0	1	0	0	0	0	0	1
"O15496"	0	0	1	0	1	0	0	0	1
"O15524"	0	0	1	0	1	0	0	0	1
"O15540"	0	0	1	0	0	0	0	0	1
"O43173"	0	0	1	0	0	0	0	0	1
"O43174"	0	0	1	0	0	0	0	0	1
"O43286"	0	0	1	0	0	0	0	0	1
"O43292"	0	0	1	0	0	0	0	0	1
"O43426"	0	0	1	0	0	0	0	0	1
"O43688"	0	0	1	0	0	0	0	0	1
"O43766"	0	0	1	0	0	0	0	0	1
"O43808"	0	0	1	0	0	0	0	0	1
"O43825"	0	0	1	0	0	0	0	0	1
"O60218"	0	0	1	0	0	0	0	0	1
"O60331"	0	0	1	0	0	0	0	0	1
"O60427"	0	0	1	0	0	0	0	0	1
"O60488"	0	0	1	0	0	0	0	0	1
"O60512"	0	0	1	0	0	0	0	0	1
"O60513"	0	0	1	0	0	0	0	0	1
"O60656"	0	0	1	0	0	0	0	0	1
"O60733"	0	0	1	0	1	0	0	0	1
"O60760"	0	0	1	0	0	0	0	0	1
"O60762"	0	0	1	0	0	0	0	0	1
"O60906"	0	0	1	0	0	0	0	0	1
"O75056"	0	0	1	0	0	0	0	0	1
"O75131"	0	0	1	0	0	0	0	0	1
"O75159"	0	0	1	0	1	0	0	0	1
"O75342"	0	0	1	0	0	0	0	0	1
"O75352"	0	0	1	0	0	0	0	0	1
"O75487"	0	0	1	0	0	0	0	0	1
"O75521"	0	0	1	0	0	0	0	0	1
"O75747"	0	0	1	0	0	0	0	0	1
"O75752"	0	0	1	0	0	0	0	0	1
"O75907"	0	0	1	0	0	0	0	0	1
"O75908"	0	0	1	0	0	0	0	0	1
"O75911"	0	0	1	0	0	0	0	0	1
"O75912"	0	0	1	0	0	0	0	0	1
"O94777"	0	0	1	0	0	0	0	0	1
"O94788"	0	0	1	0	0	0	0	0	1
"O94806"	0	0	1	0	0	0	0	0	1
"O94830"	0	0	1	0	0	0	0	0	1
"O94911"	0	0	1	0	0	0	0	0	1
"O95237"	0	0	1	0	0	0	0	0	1
"O95248"	0	0	1	0	0	0	0	0	1
"O95292"	0	0	1	0	0	0	0	0	1
"O95342"	0	0	1	0	0	0	0	0	1
"O95372"	0	0	1	0	0	0	0	0	1
"O95427"	0	0	1	0	0	0	0	0	1
"O95445"	0	0	1	0	0	0	0	0	1
"O95461"	0	0	1	0	0	0	0	0	1
"O95470"	0	0	1	0	0	0	0	0	1
"O95573"	0	0	1	0	0	0	0	0	1
"O95674"	0	0	1	0	0	0	0	0	1
"O95741"	0	0	1	0	0	0	0	0	1
"O95749"	0	0	1	0	0	0	0	0	1
"O95822"	0	0	1	0	0	0	0	0	1
"O95864"	0	0	1	0	0	0	0	0	1
"O95870"	0	0	1	0	0	0	0	0	1
"O96024"	0	0	1	0	0	0	0	0	1
"P00325"	0	0	1	0	0	0	0	0	1
"P00326"	0	0	1	0	0	0	0	0	1
"P00352"	0	0	1	0	0	0	0	0	1
"P02647"	0	0	1	0	0	0	0	0	1
"P02649"	0	0	1	0	0	0	0	0	1
"P02652"	0	0	1	0	0	0	0	0	1
"P02654"	0	0	1	0	0	0	0	0	1
"P02655"	0	0	1	0	0	0	0	0	1
"P02656"	0	0	1	0	0	0	0	0	1
"P02749"	0	0	1	0	0	0	0	0	1
"P02753"	0	0	1	0	0	0	0	0	1
"P02766"	0	0	1	0	0	0	0	0	1
"P03950"	0	0	1	0	0	0	0	0	1
"P03999"	0	0	1	0	0	0	0	0	1
"P04000"	0	0	1	0	0	0	0	0	1
"P04001"	0	0	1	0	0	0	0	0	1
"P04035"	0	0	1	0	0	0	0	0	1
"P04054"	0	0	1	0	0	0	0	0	1
"P04062"	0	0	1	0	0	0	0	0	1
"P04066"	0	0	1	0	0	0	0	0	1
"P04114"	0	0	1	0	0	0	0	0	1
"P04118"	0	0	1	0	0	0	0	0	1
"P04180"	0	0	1	0	0	0	0	0	1
"P04233"	0	0	1	0	0	0	0	0	1
"P04798"	0	0	1	0	0	0	0	0	1
"P05165"	0	0	1	0	0	0	0	0	1
"P05166"	0	0	1	0	0	0	0	0	1
"P05177"	0	0	1	0	0	0	0	0	1
"P05181"	0	0	1	0	0	0	0	0	1
"P05305"	0	0	1	0	0	0	0	0	1
"A0A1I9LME3"	0	0	0	1	0	0	0	0	1
"A0A1I9LN13"	0	0	0	1	0	0	0	0	1
"A0A1I9LPW5"	0	0	0	1	0	0	0	0	1
"A0A1P8AZS5"	0	0	0	1	0	0	0	0	1
"A0A1P8B460"	0	0	0	1	0	0	0	0	1
"A0A1P8B5A1"	0	0	0	1	0	0	0	0	1
"A0A1P8B5P2"	0	0	0	1	0	0	0	0	1
"A0A1P8B7F5"	0	0	0	1	0	0	0	0	1
"A0A1P8BGX5"	0	0	0	1	0	0	0	0	1
"A8MQG7"	0	0	0	1	0	0	0	0	1
"A8MQW3"	0	0	0	1	0	0	0	0	1
"B3DNN5"	0	0	0	1	0	0	0	0	1
"B9DHA6"	0	0	0	1	0	0	0	0	1
"F4HQX6"	0	0	0	1	0	0	0	0	1
"F4HRV8"	0	0	0	1	0	0	0	0	1
"F4HVM4"	0	0	0	1	0	0	0	0	1
"F4HVS0"	0	0	0	1	0	0	0	0	1
"F4HVZ1"	0	0	0	1	0	0	0	0	1
"F4HXZ1"	0	0	0	1	0	0	0	0	1
"F4HZW2"	0	0	0	1	0	0	0	0	1
"F4HZZ4"	0	0	0	1	0	0	0	0	1
"F4HZZ5"	0	0	0	1	0	0	0	0	1
"F4I2Y3"	0	0	0	1	0	0	0	0	1
"F4I5B8"	0	0	0	1	0	0	0	0	1
"F4I615"	0	0	0	1	0	0	0	0	1
"F4I7D4"	0	0	0	1	0	0	0	0	1
"F4I9X6"	0	0	0	1	0	0	0	0	1
"F4IDY5"	0	0	0	1	0	0	0	0	1
"F4IIC2"	0	0	0	1	0	0	0	0	1
"F4IIK4"	0	0	0	1	0	0	0	0	1
"F4IRP0"	0	0	0	1	0	0	0	0	1
"F4ITM1"	0	0	0	1	0	0	0	0	1
"F4ITM2"	0	0	0	1	0	0	0	0	1
"F4ITP6"	0	0	0	1	0	0	0	0	1
"F4IWU7"	0	0	0	1	0	0	0	0	1
"F4IXN6"	0	0	0	1	0	0	0	0	1
"F4IZ09"	0	0	0	1	0	0	0	0	1
"F4IZL5"	0	0	0	1	0	0	0	0	1
"F4J048"	0	0	0	1	0	0	0	0	1
"F4J3D6"	0	0	0	1	0	0	0	0	1
"F4J3D9"	0	0	0	1	0	0	0	0	1
"F4J5L3"	0	0	0	1	0	0	0	0	1
"F4JC97"	0	0	0	1	0	0	0	0	1
"F4JG03"	0	0	0	1	0	0	0	0	1
"F4JGS0"	0	0	0	1	0	0	0	0	1
"F4JI85"	0	0	0	1	0	0	0	0	1
"F4JJE5"	0	0	0	1	0	0	0	0	1
"F4JKF3"	0	0	0	1	0	0	0	0	1
"F4JKK0"	0	1	0	1	0	0	0	0	1
"F4JNL3"	0	0	0	1	0	0	0	0	1
"F4JV39"	0	0	0	1	0	0	0	0	1
"F4JWE4"	0	0	0	1	0	0	0	0	1
"F4JWQ4"	0	0	0	1	0	0	0	0	1
"F4JY59"	0	0	0	1	0	0	0	0	1
"F4K250"	0	0	0	1	0	0	0	0	1
"F4K5R6"	0	0	0	1	0	0	0	0	1
"F4K784"	0	0	0	1	0	0	0	0	1
"F4K9Q6"	0	0	0	1	0	0	0	0	1
"F4KAG5"	0	0	0	1	0	0	0	0	1
"F4KAN2"	0	0	0	1	0	0	0	0	1
"F4KCC2"	0	0	0	1	0	1	0	0	1
"F4KCN6"	0	0	0	1	0	0	0	0	1
"F4KI28"	0	0	0	1	0	0	0	0	1
"F4KI29"	0	0	0	1	0	0	0	0	1
"O04019"	0	0	0	1	0	0	0	0	1
"O04197"	0	0	0	1	0	0	0	0	1
"O22197"	0	0	0	1	0	0	0	0	1
"O22207"	0	0	0	1	0	0	0	0	1
"O22925"	0	0	0	1	0	0	0	0	1
"O22941"	0	0	0	1	0	0	0	0	1
"O22961"	0	0	0	1	0	0	0	0	1
"O23239"	0	0	0	1	0	0	0	0	1
"O23708"	0	0	0	1	0	0	0	0	1
"O23710"	0	0	0	1	0	0	0	0	1
"O23712"	0	0	0	1	0	0	0	0	1
"O23714"	0	0	0	1	0	0	0	0	1
"O23715"	0	0	0	1	0	0	0	0	1
"O23717"	0	0	0	1	0	0	0	0	1
"O24412"	0	0	0	1	0	0	0	0	1
"O24616"	0	0	0	1	0	0	0	0	1
"O24633"	0	0	0	1	0	0	0	0	1
"O48726"	0	0	0	1	0	0	0	0	1
"O48838"	0	0	0	1	0	0	0	0	1
"O48844"	0	0	0	1	0	0	0	0	1
"O49286"	0	0	0	1	0	0	0	0	1
"O49484"	0	0	0	1	0	0	0	0	1
"O49500"	0	0	0	1	0	0	0	0	1
"O49663"	0	0	0	1	0	0	0	0	1
"O64425"	0	0	0	1	0	0	0	0	1
"O64758"	0	0	0	1	0	0	0	0	1
"O64824"	0	0	0	1	0	0	0	0	1
"O64867"	0	0	0	1	0	0	0	0	1
"O64876"	0	0	0	1	0	0	0	0	1
"O65381"	0	0	0	1	0	0	0	0	1
"O65418"	0	0	0	1	0	0	0	0	1
"O65421"	0	0	0	1	0	0	0	0	1
"O65493"	0	0	0	1	0	0	0	0	1
"O65674"	0	0	0	1	0	0	0	0	1
"O80860"	0	0	0	1	0	0	1	0	1
"O80910"	0	0	0	1	0	0	0	0	1
"O80977"	0	0	0	1	0	0	0	0	1
"O81055"	0	0	0	1	0	0	0	0	1
"O81057"	0	0	0	1	0	0	0	0	1
"O81058"	0	0	0	1	0	0	0	0	1
"O81146"	0	0	0	1	0	0	0	0	1
"O81147"	0	0	0	1	0	0	0	0	1
"O81148"	0	0	0	1	0	0	0	0	1
